"24-09-2018 18:58:34 [main] INFO  c.twitter.api.TwitterApiApplication - Starting TwitterApiApplication on 97713-T470 with PID 28338 (/home/meghavipatel/IdeaProjects/twitter/twitter-api-app/target/classes started by meghavipatel in /home/meghavipatel/IdeaProjects/twitter)
""24-09-2018 18:58:42 [main] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 2147483647
""24-09-2018 18:58:42 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
""24-09-2018 18:58:42 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
""24-09-2018 18:58:42 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
""24-09-2018 18:58:43 [main] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat started on port(s): 8083 (http)
""24-09-2018 18:58:43 [main] INFO  c.twitter.api.TwitterApiApplication - Started TwitterApiApplication in 9.465 seconds (JVM running for 10.509)
""24-09-2018 18:59:33 [http-nio-8083-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
""24-09-2018 19:00:33 [http-nio-8083-exec-5] INFO  o.h.h.i.QueryTranslatorFactoryInitiator - HHH000397: Using ASTQueryTranslatorFactory
""24-09-2018 19:00:56 [Thread-5] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@4d826d77: startup date [Mon Sep 24 18:58:35 BST 2018]; root of context hierarchy
""24-09-2018 19:00:56 [Thread-5] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 2147483647
""24-09-2018 19:00:56 [Thread-5] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
""24-09-2018 19:00:56 [Thread-5] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
"
